onset	duration	trial_type	response_time	stim_file	value_rating	value_real
3.018952	3.016642	conj	1.365149	Fa2_2223.jpg	51	50
12.01167	3.0152	rating	1.365149	Fa2_2223.jpg	51	50
20.01105	3.01721	summ	1.772526	Fa3_1211.jpg	42	40
28.01376	3.01558	rating	1.772526	Fa3_1211.jpg	42	40
38.51436	3.01721999999999	summ	-0.999	Fa3_1231.jpg	73.5	70
47.51291	3.03981	rating	-0.999	Fa3_1231.jpg	73.5	70
56.51756	3.01703999999999	summ	2.886606	Fa3_1111.jpg	31.5	30
64.51679	3.06946000000001	rating	2.886606	Fa3_1111.jpg	31.5	30
75.50412	3.01729	summ	1.511379	Fa3_1211.jpg	42	40
84.01235	3.01023000000001	rating	1.511379	Fa3_1211.jpg	42	40
91.50693	3.01717000000001	conj	-0.999	Fa2_2122.jpg	94.5	90
101.5141	3.0448	rating	-0.999	Fa2_2122.jpg	94.5	90
110.5102	3.0172	conj	2.018565	Fa2_2323.jpg	70.5	70
121.0138	3.01509999999999	rating	2.018565	Fa2_2323.jpg	70.5	70
132.0147	3.0164	summ	2.774195	Fa3_1321.jpg	81	80
142.5134	3.00720000000001	rating	2.774195	Fa3_1321.jpg	81	80
153.5177	3.0172	summ	1.344356	Fa3_1121.jpg	51	50
164.514	3.0069	rating	1.344356	Fa3_1121.jpg	51	50
175.0048	3.0171	conj	1.713958	Fa2_2322.jpg	41.25	40
184.0134	3.00980000000001	rating	1.713958	Fa2_2322.jpg	41.25	40
191.5076	3.0172	conj	2.249976	Fa2_2221.jpg	83.25	80
202.5128	3.0136	rating	2.249976	Fa2_2221.jpg	83.25	80
211.011	3.0171	conj	-0.999	Fa2_2322.jpg	38.25	40
218.0139	3.04849999999999	rating	-0.999	Fa2_2322.jpg	38.25	40
228.514	3.01729999999998	conj	-0.999	Fa2_2122.jpg	91.5	90
239.5132	3.0752	rating	-0.999	Fa2_2122.jpg	91.5	90
248.5175	3.0171	conj	2.642635	Fa2_2221.jpg	81.75	80
255.5129	3.00909999999999	rating	2.642635	Fa2_2221.jpg	81.75	80
262.5057	3.01659999999998	summ	2.395883	Fa3_1321.jpg	82.5	80
269.5138	3.00849999999997	rating	2.395883	Fa3_1321.jpg	82.5	80
276.5059	3.01690000000002	conj	-0.999	Fa2_2223.jpg	48.75	50
286.5142	3.04339999999996	rating	-0.999	Fa2_2223.jpg	48.75	50
294.0087	3.0172	summ	-0.999	Fa3_1331.jpg	92.25	90
305.0135	3.04739999999998	rating	-0.999	Fa3_1331.jpg	92.25	90
313.012	3.0172	conj	2.751356	Fa2_2121.jpg	33	30
323.0131	3.01749999999998	rating	2.751356	Fa2_2121.jpg	33	30
331.5152	3.0172	conj	2.195818	Fa2_2323.jpg	70.5	70
338.5138	3.00920000000002	rating	2.195818	Fa2_2323.jpg	70.5	70
348.5068	3.01670000000001	summ	1.427283	Fa3_1121.jpg	50.25	50
356.5132	3.01010000000002	rating	1.427283	Fa3_1121.jpg	50.25	50
364.0069	3.01680000000005	summ	1.395053	Fa3_1231.jpg	71.25	70
373.0141	3.00970000000001	rating	1.395053	Fa3_1231.jpg	71.25	70
380.5072	3.017	summ	2.748647	Fa3_1331.jpg	89.25	90
389.0132	3.01220000000001	rating	2.748647	Fa3_1331.jpg	89.25	90
399.5103	3.0172	summ	2.432842	Fa3_1111.jpg	30.75	30
409.014	3.01479999999998	rating	2.432842	Fa3_1111.jpg	30.75	30
419.0137	3.01710000000003	conj	2.25283	Fa2_2121.jpg	31.5	30
427.0141	3.0179	rating	2.25283	Fa2_2121.jpg	31.5	30
