onset	duration	trial_type	response_time	stim_file	value_rating	value_real
3.017216	3.016928	conj	-0.999	Fa3_1121.jpg	48	90
11.04883	3.03802	rating	-0.999	Fa3_1121.jpg	48	90
22.01759	3.01692	conj	1.97142	Fa3_1221.jpg	79.5	40
32.51924	3.01517	rating	1.97142	Fa3_1221.jpg	79.5	40
42.51818	3.01671	conj	1.372951	Fa3_1231.jpg	39.75	70
51.51383	3.0137	rating	1.372951	Fa3_1231.jpg	39.75	70
58.51832	3.01679	summ	1.573518	Fa2_2323.jpg	43.5	90
67.51295	3.01725999999999	rating	1.573518	Fa2_2323.jpg	43.5	90
74.51857	3.01667	summ	1.488776	Fa2_2223.jpg	79.5	70
83.51364	3.00489	rating	1.488776	Fa2_2223.jpg	79.5	70
91.01727	3.01830000000001	summ	1.522509	Fa2_2121.jpg	35.25	30
99.01311	3.00579	rating	1.522509	Fa2_2121.jpg	35.25	30
107.0032	3.0175	summ	1.542239	Fa2_2122.jpg	81	50
118.0137	3.0086	rating	1.542239	Fa2_2122.jpg	81	50
128.5073	3.01710000000003	summ	1.379616	Fa2_2322.jpg	35.25	80
139.0134	3.01260000000002	rating	1.379616	Fa2_2322.jpg	35.25	80
148.0106	3.0172	summ	1.441178	Fa2_2323.jpg	75.75	90
158.5128	3.01679999999999	rating	1.441178	Fa2_2323.jpg	75.75	90
166.0137	3.01730000000001	summ	1.638384	Fa2_2223.jpg	82.5	70
173.5154	3.01660000000001	rating	1.638384	Fa2_2223.jpg	82.5	70
182.5166	3.0172	conj	1.392461	Fa3_1311.jpg	33.75	80
192.5129	3.00729999999999	rating	1.392461	Fa3_1311.jpg	33.75	80
201.0038	3.01989999999998	summ	1.276663	Fa2_2221.jpg	38.25	40
209.0136	3.00790000000001	rating	1.276663	Fa2_2221.jpg	38.25	40
219.0063	3.0172	conj	1.328626	Fa3_1221.jpg	77.25	40
227.0133	3.01130000000001	rating	1.328626	Fa3_1221.jpg	77.25	40
238.0096	3.0172	conj	1.365984	Fa3_1311.jpg	36	80
245.0125	3.01520000000002	rating	1.365984	Fa3_1311.jpg	36	80
252.0145	3.0147	conj	1.294604	Fa3_1331.jpg	35.25	50
260.0135	3.01679999999999	rating	1.294604	Fa3_1331.jpg	35.25	50
268.5149	3.01679999999999	summ	1.175555	Fa2_2121.jpg	42.75	30
277.5126	3.00869999999998	rating	1.175555	Fa2_2121.jpg	42.75	30
285.0178	3.01709999999997	conj	1.40871	Fa3_1111.jpg	78.75	30
296.0139	3.00730000000004	rating	1.40871	Fa3_1111.jpg	78.75	30
307.0049	3.0172	summ	2.86398	Fa2_2221.jpg	24	40
314.013	3.02670000000001	rating	2.86398	Fa2_2221.jpg	24	40
322.5076	3.0172	conj	1.296089	Fa3_1231.jpg	42.75	70
333.0136	3.01609999999999	rating	1.296089	Fa3_1231.jpg	42.75	70
340.5107	3.0172	summ	1.384183	Fa2_2122.jpg	78	50
350.0132	3.01609999999999	rating	1.384183	Fa2_2122.jpg	78	50
359.0139	3.0172	conj	1.360342	Fa3_1331.jpg	39.75	50
367.5123	3.01010000000002	rating	1.360342	Fa3_1331.jpg	39.75	50
377.5172	3.01709999999997	summ	1.11161	Fa2_2322.jpg	41.25	80
384.5135	3.00909999999999	rating	1.11161	Fa2_2322.jpg	41.25	80
395.5061	3.01670000000001	conj	1.413318	Fa3_1111.jpg	42	30
406.0127	3.00999999999999	rating	1.413318	Fa3_1111.jpg	42	30
416.0071	3.0172	conj	1.431757	Fa3_1121.jpg	79.5	90
427.0136	3.01229999999998	rating	1.431757	Fa3_1121.jpg	79.5	90
