onset	duration	trial_type	response_time	stim_file	value_rating	value_real
3.01036	3.017186	summ	2.598386	Fa2_2323.jpg	87.75	90
12.01393	3.01496	rating	2.598386	Fa2_2323.jpg	87.75	90
20.0134	3.01721	conj	1.30304	Fa3_1121.jpg	89.25	90
28.01216	3.01359	rating	1.30304	Fa3_1121.jpg	89.25	90
38.51675	3.01705	summ	2.012451	Fa2_2121.jpg	28.5	30
47.51355	3.01219	rating	2.012451	Fa2_2121.jpg	28.5	30
56.50949	3.01672	summ	1.02891	Fa2_2322.jpg	80.25	80
64.51392	3.01209	rating	1.02891	Fa2_2322.jpg	80.25	80
75.50978	3.0167	conj	1.280095	Fa3_1121.jpg	90.75	90
84.01335	3.01316	rating	1.280095	Fa3_1121.jpg	90.75	90
91.50994	3.01673	conj	-0.999	Fa3_1111.jpg	30.75	30
101.5131	3.04810000000001	rating	-0.999	Fa3_1111.jpg	30.75	30
110.5126	3.0171	conj	1.700749	Fa3_1221.jpg	39.75	40
121.0137	3.0175	rating	1.700749	Fa3_1221.jpg	39.75	40
132.0163	3.0171	conj	2.171072	Fa3_1331.jpg	49.5	50
142.5139	3.01319999999998	rating	2.171072	Fa3_1331.jpg	49.5	50
153.5107	3.01679999999999	summ	2.014283	Fa2_2322.jpg	80.25	80
164.5132	3.01419999999999	rating	2.014283	Fa2_2322.jpg	80.25	80
175.011	3.01680000000002	summ	1.830858	Fa2_2122.jpg	50.25	50
184.0136	3.01400000000001	rating	1.830858	Fa2_2122.jpg	50.25	50
191.5112	3.01669999999999	conj	1.581613	Fa3_1231.jpg	68.25	70
202.5137	3.01499999999999	rating	1.581613	Fa3_1231.jpg	68.25	70
211.0133	3.0171	conj	1.651893	Fa3_1311.jpg	80.25	80
218.0127	3.01519999999999	rating	1.651893	Fa3_1311.jpg	80.25	80
228.5163	3.0172	summ	1.971353	Fa2_2121.jpg	31.5	30
239.5139	3.01429999999999	rating	1.971353	Fa2_2121.jpg	31.5	30
248.512	3.01660000000001	summ	2.015067	Fa2_2221.jpg	41.25	40
255.5137	3.01469999999998	rating	2.015067	Fa2_2221.jpg	41.25	40
262.5121	3.01670000000001	conj	1.065044	Fa3_1221.jpg	39.75	40
269.5137	3.01490000000001	rating	1.065044	Fa3_1221.jpg	39.75	40
276.5123	3.01670000000001	summ	1.79773	Fa2_2122.jpg	50.25	50
286.5145	3.01429999999999	rating	1.79773	Fa2_2122.jpg	50.25	50
294.0124	3.01679999999999	conj	1.482583	Fa3_1231.jpg	68.25	70
305.0139	3.01590000000004	rating	1.482583	Fa3_1231.jpg	68.25	70
313.0142	3.01709999999997	conj	2.802249	Fa3_1311.jpg	79.5	80
323.014	3.01519999999999	rating	2.802249	Fa3_1311.jpg	79.5	80
331.5171	3.01739999999995	conj	2.205673	Fa3_1331.jpg	49.5	50
338.5131	3.0163	rating	2.205673	Fa3_1331.jpg	49.5	50
348.5131	3.01670000000001	conj	2.334119	Fa3_1111.jpg	29.25	30
356.5125	3.01710000000003	rating	2.334119	Fa3_1111.jpg	29.25	30
364.013	3.017	summ	1.482993	Fa2_2323.jpg	87.75	90
373.014	3.01580000000001	rating	1.482993	Fa2_2323.jpg	87.75	90
380.5134	3.01679999999999	summ	-0.999	Fa2_2223.jpg	61.5	70
389.0137	3.04960000000005	rating	-0.999	Fa2_2223.jpg	61.5	70
399.5137	3.01670000000001	summ	2.584859	Fa2_2221.jpg	42	40
409.013	3.0172	rating	2.584859	Fa2_2221.jpg	42	40
419.0158	3.0172	summ	0.5370323	Fa2_2223.jpg	60	70
427.0137	3.01710000000003	rating	0.5370323	Fa2_2223.jpg	60	70
