onset	duration	bloc_type	bloc_typeCode
5.015763	11.25	Objects 	3
16.26773	11.25	Objects 	3
27.51012	11.25	Faces 	1
38.76024	11.25	Objects 	3
50.01046	11.25	Scrambled 	4
61.26066	11.25	Faces 	1
72.51097	11.25	Scenes 	2
83.76295	11.25	Scrambled 	4
95.01498	11.25	Scrambled 	4
106.2669	11.25	Objects 	3
117.5114	11.25	Scenes 	2
128.7616	11.25	Scenes 	2
140.0119	11.25	Faces 	1
151.2621	11.25	Faces 	1
162.5121	11.25	Scrambled 	4
173.7624	11.25	Scenes 	2
185.0142	11.25	Baseline 	0
