onset	duration	bloc_type	bloc_typeCode
5.015288	11.25	Objects 	3
16.26671	11.25	Faces 	1
27.51863	11.25	Scrambled 	4
38.76578	11.25	Scenes 	2
50.01596	11.25	Scenes 	2
61.26608	11.25	Scrambled 	4
72.51633	11.25	Scrambled 	4
83.76656	11.25	Faces 	1
95.01668	11.25	Scenes 	2
106.2669	11.25	Faces 	1
117.5179	11.25	Faces 	1
128.7699	11.25	Objects 	3
140.0174	11.25	Scenes 	2
151.2676	11.25	Objects 	3
162.5178	11.25	Objects 	3
173.768	11.25	Scrambled 	4
185.0181	11.25	Baseline 	0
