onset	duration	trial_type	response_time	stim_file	value_rating	value_real
3.016504	3.016721	summ	2.786736	Fc3_1111.jpg	89.25	90
10.51312	3.01563	rating	2.786736	Fc3_1111.jpg	89.25	90
20.51682	3.01669	conj	1.953589	Fc1_1221.jpg	51.75	50
31.01351	3.00346	rating	1.953589	Fc1_1221.jpg	51.75	50
38.01706	3.01685	conj	2.824721	Fc1_3231.jpg	31.5	30
48.51078	3.00798	rating	2.824721	Fc1_3231.jpg	31.5	30
56.51737	3.01667	conj	-0.999	Fc1_2211.jpg	60	40
64.51245	3.04255999999999	rating	-0.999	Fc1_2211.jpg	60	40
75.51759	3.01673	summ	2.912284	Fc3_1313.jpg	32.25	30
82.5125	3.05494	rating	2.912284	Fc3_1313.jpg	32.25	30
91.51775	3.01678	conj	-0.999	Fc1_1211.jpg	67.5	70
100.0107	3.0403	rating	-0.999	Fc1_1211.jpg	67.5	70
108.0178	3.01700000000001	summ	2.255678	Fc3_1211.jpg	79.5	80
119.0126	3.00529999999999	rating	2.255678	Fc3_1211.jpg	79.5	80
127.5156	3.0172	conj	2.490649	Fc1_2211.jpg	42	40
134.511	3.00720000000001	rating	2.490649	Fc1_2211.jpg	42	40
145.0018	3.01740000000001	conj	2.873854	Fc1_1221.jpg	51.75	50
152.0131	3.00709999999998	rating	2.873854	Fc1_1221.jpg	51.75	50
163.0052	3.0171	summ	2.643824	Fc3_1112.jpg	70.5	70
172.0132	3.01039999999998	rating	2.643824	Fc3_1112.jpg	70.5	70
183.0086	3.0172	conj	2.881123	Fc1_2231.jpg	90.75	90
190.5125	3.0231	rating	2.881123	Fc1_2231.jpg	90.75	90
201.5118	3.0172	conj	2.024261	Fc1_3221.jpg	80.25	80
212.5118	3.0076	rating	2.024261	Fc1_3221.jpg	80.25	80
221.5152	3.01740000000001	summ	2.256584	Fc3_1213.jpg	49.5	50
230.0133	3.0061	rating	2.256584	Fc3_1213.jpg	49.5	50
238.0031	3.01670000000001	summ	1.925409	Fc3_1112.jpg	69	70
248.5114	3.00889999999998	rating	1.925409	Fc3_1112.jpg	69	70
255.5045	3.0172	summ	2.959864	Fc3_1211.jpg	80.25	80
262.5129	3.10980000000001	rating	2.959864	Fc3_1211.jpg	80.25	80
271.5073	3.0172	summ	2.013957	Fc3_1313.jpg	30.75	30
282.0121	3.01400000000001	rating	2.013957	Fc3_1313.jpg	30.75	30
291.0106	3.01729999999998	summ	2.299723	Fc3_1312.jpg	41.25	40
298.5125	3.01650000000001	rating	2.299723	Fc3_1312.jpg	41.25	40
308.5137	3.0172	conj	2.292557	Fc1_3231.jpg	30	30
316.5114	3.00900000000001	rating	2.292557	Fc1_3231.jpg	30	30
324.0164	3.0172	summ	1.607787	Fc3_1111.jpg	50.25	90
332.013	3.0077	rating	1.607787	Fc3_1111.jpg	50.25	90
342.0044	3.01670000000001	summ	2.474948	Fc3_1312.jpg	42	40
353.0135	3.00819999999999	rating	2.474948	Fc3_1312.jpg	42	40
360.5058	3.01749999999998	conj	2.761653	Fc1_2231.jpg	90.75	90
371.0133	3.01150000000001	rating	2.761653	Fc1_2231.jpg	90.75	90
380.5095	3.01729999999998	conj	1.867273	Fc1_3221.jpg	79.5	80
389.0106	3.01729999999998	rating	1.867273	Fc1_3221.jpg	79.5	80
398.0126	3.0172	conj	-0.999	Fc1_1211.jpg	79.5	70
407.0126	3.0351	rating	-0.999	Fc1_1211.jpg	79.5	70
417.0159	3.01710000000003	summ	-0.999	Fc3_1213.jpg	50.25	50
427.0132	3.04200000000003	rating	-0.999	Fc3_1213.jpg	50.25	50
