onset	duration	bloc_type	bloc_typeCode
5.013468	11.25	Objects 	3
16.26439	11.25	Faces 	1
27.51639	11.25	Scenes 	2
38.76834	11.25	Objects 	3
50.01424	11.25	Scrambled 	4
61.26436	11.25	Faces 	1
72.51457	11.25	Scrambled 	4
83.76471	11.25	Scenes 	2
95.01488	11.25	Faces 	1
106.2651	11.25	Faces 	1
117.5156	11.25	Objects 	3
128.7675	11.25	Scenes 	2
140.0156	11.25	Scenes 	2
151.2657	11.25	Scrambled 	4
162.516	11.25	Scrambled 	4
173.7661	11.25	Objects 	3
185.0163	11.25	Baseline 	0
