onset	duration	trial_type	response_time	stim_file	value_rating	value_real
3.017062	3.01662	summ	2.226432	Fa2_2322.jpg	40.5	40
10.51347	3.00975	rating	2.226432	Fa2_2322.jpg	40.5	40
20.51733	3.01666	conj	1.8895	Fa3_1331.jpg	92.25	90
31.01109	3.01575	rating	1.8895	Fa3_1331.jpg	92.25	90
38.0175	3.01672	conj	1.971382	Fa3_1231.jpg	32.25	30
48.51298	3.0168	rating	1.971382	Fa3_1231.jpg	32.25	30
56.51776	3.01679	conj	2.106443	Fa3_1331.jpg	87	90
64.51145	3.00632	rating	2.106443	Fa3_1331.jpg	87	90
75.51759	3.01721000000001	summ	2.491232	Fa2_2223.jpg	50.25	50
82.51129	3.00776999999999	rating	2.491232	Fa2_2223.jpg	50.25	50
91.50379	3.01718000000001	conj	2.260592	Fa3_1311.jpg	41.25	40
100.0119	3.0106	rating	2.260592	Fa3_1311.jpg	41.25	40
108.0066	3.01719999999999	summ	1.714218	Fa2_2122.jpg	68.25	70
119.0114	3.01400000000001	rating	1.714218	Fa2_2122.jpg	68.25	70
127.51	3.01719999999999	summ	2.067395	Fa2_2322.jpg	42	40
134.5107	3.01749999999998	rating	2.067395	Fa2_2322.jpg	42	40
145.0131	3.0172	summ	2.091006	Fa2_2221.jpg	78	80
152.0113	3.0076	rating	2.091006	Fa2_2221.jpg	78	80
163.0163	3.0171	summ	1.840301	Fa2_2121.jpg	87.75	90
172.0123	3.0069	rating	1.840301	Fa2_2121.jpg	87.75	90
183.0031	3.0172	summ	1.841326	Fa2_2223.jpg	48.75	50
190.5132	3.00809999999998	rating	1.841326	Fa2_2223.jpg	48.75	50
201.5062	3.01730000000001	conj	1.530944	Fa3_1221.jpg	80.25	80
212.511	3.01429999999999	rating	1.530944	Fa3_1221.jpg	80.25	80
221.5097	3.0172	conj	2.267308	Fa3_1231.jpg	30	30
230.0109	3.0172	rating	2.267308	Fa3_1231.jpg	30	30
238.0126	3.0172	conj	1.508939	Fa3_1121.jpg	51	50
248.5114	3.0087	rating	1.508939	Fa3_1121.jpg	51	50
255.5157	3.01719999999997	summ	2.17421	Fa2_2323.jpg	30	30
262.5129	3.00740000000002	rating	2.17421	Fa2_2323.jpg	30	30
271.504	3.01679999999999	conj	1.89087	Fa3_1221.jpg	51	80
282.0132	3.00740000000002	rating	1.89087	Fa3_1221.jpg	51	80
291.0051	3.01709999999997	conj	1.709913	Fa3_1111.jpg	68.25	70
298.5133	3.00999999999999	rating	1.709913	Fa3_1111.jpg	68.25	70
308.5081	3.0172	conj	-0.999	Fa3_1311.jpg	40.5	40
316.5117	3.04809999999998	rating	-0.999	Fa3_1311.jpg	40.5	40
324.0106	3.01749999999998	conj	1.717785	Fa3_1111.jpg	72	70
332.0116	3.01760000000002	rating	1.717785	Fa3_1111.jpg	72	70
342.0139	3.01730000000003	summ	2.744007	Fa2_2323.jpg	30.75	30
353.0109	3.01060000000001	rating	2.744007	Fa2_2323.jpg	30.75	30
360.5169	3.01749999999998	summ	-0.999	Fa2_2221.jpg	78.75	80
371.0114	3.0437	rating	-0.999	Fa2_2221.jpg	78.75	80
380.5055	3.01660000000004	summ	2.411165	Fa2_2121.jpg	89.25	90
389.0113	3.0111	rating	2.411165	Fa2_2121.jpg	89.25	90
398.0069	3.01730000000003	conj	2.513971	Fa3_1121.jpg	38.25	50
407.0116	3.01390000000004	rating	2.513971	Fa3_1121.jpg	38.25	50
417.0103	3.0172	summ	2.183132	Fa2_2122.jpg	69.75	70
427.0125	3.01650000000001	rating	2.183132	Fa2_2122.jpg	69.75	70
