onset	duration	trial_type	response_time	stim_file	value_rating	value_real
3.004862	3.019905	conj	-0.999	Fc1_1221.jpg	87.75	90
13.01443	3.10912	rating	-0.999	Fc1_1221.jpg	87.75	90
20.50791	3.01723	conj	2.814398	Fc1_1211.jpg	30.75	30
31.5136	3.01321	rating	2.814398	Fc1_1211.jpg	30.75	30
42.01278	3.01616	conj	2.575131	Fc1_2211.jpg	80.25	80
53.01299	3.01759	rating	2.575131	Fc1_2211.jpg	80.25	80
62.01528	3.01707	summ	2.175411	Fc3_1313.jpg	89.25	90
72.01282	3.00873	rating	2.175411	Fc3_1313.jpg	89.25	90
80.00512	3.01679	conj	-0.999	Fc1_3221.jpg	42	40
90.51384	3.05799	rating	-0.999	Fc1_3221.jpg	42	40
101.5054	3.0172	conj	-0.999	Fc1_2231.jpg	48	50
108.5129	3.044	rating	-0.999	Fc1_2231.jpg	48	50
118.5084	3.0171	summ	2.446293	Fc3_1312.jpg	78	80
127.5139	3.0129	rating	2.446293	Fc3_1312.jpg	78	80
136.5115	3.01719999999997	conj	-0.999	Fc1_2231.jpg	51	50
147.0156	3.048	rating	-0.999	Fc1_2231.jpg	51	50
157.015	3.0172	summ	1.378264	Fc3_1213.jpg	68.25	70
164.5134	3.00920000000002	rating	1.378264	Fc3_1213.jpg	68.25	70
175.5183	3.0172	conj	-0.999	Fc1_1221.jpg	89.25	90
186.5141	3.04219999999998	rating	-0.999	Fc1_1221.jpg	89.25	90
196.5067	3.01660000000001	conj	-0.999	Fc1_2211.jpg	67.5	80
204.5134	3.04350000000002	rating	-0.999	Fc1_2211.jpg	67.5	80
213.0081	3.01929999999999	summ	2.562984	Fc3_1111.jpg	30	30
222.0151	3.01150000000001	rating	2.562984	Fc3_1111.jpg	30	30
229.0109	3.0172	summ	1.332593	Fc3_1112.jpg	51	50
237.0137	3.01669999999999	rating	1.332593	Fc3_1112.jpg	51	50
244.5136	3.0172	conj	-0.999	Fc1_3231.jpg	72	70
253.5139	3.04330000000002	rating	-0.999	Fc1_3231.jpg	72	70
264.5171	3.01709999999997	summ	1.461761	Fc3_1213.jpg	68.25	70
275.0142	3.01009999999997	rating	1.461761	Fc3_1213.jpg	68.25	70
282.0077	3.01679999999999	summ	-0.999	Fc3_1211.jpg	42	40
291.0129	3.04469999999998	rating	-0.999	Fc3_1211.jpg	42	40
299.0079	3.01670000000001	summ	2.460839	Fc3_1111.jpg	28.5	30
308.5142	3.01079999999996	rating	2.460839	Fc3_1111.jpg	28.5	30
319.51	3.01710000000003	summ	1.398641	Fc3_1112.jpg	49.5	50
328.0134	3.01510000000002	rating	1.398641	Fc3_1112.jpg	49.5	50
335.0127	3.01710000000003	summ	-0.999	Fc3_1313.jpg	87	90
345.5131	3.03489999999999	rating	-0.999	Fc3_1313.jpg	87	90
352.5156	3.0172	conj	2.723848	Fc1_3221.jpg	39	40
361.5128	3.01239999999996	rating	2.723848	Fc1_3221.jpg	39	40
369.0185	3.01709999999997	summ	2.928595	Fc3_1211.jpg	39	40
377.5137	3.16170000000005	rating	2.928595	Fc3_1211.jpg	39	40
385.509	3.01659999999998	conj	-0.999	Fc1_1211.jpg	25.5	30
392.5134	3.0455	rating	-0.999	Fc1_1211.jpg	25.5	30
400.5092	3.01669999999996	conj	2.232819	Fc1_3231.jpg	67.5	70
411.0129	3.01409999999998	rating	2.232819	Fc1_3231.jpg	67.5	70
419.5105	3.01730000000003	summ	-0.999	Fc3_1312.jpg	78	80
427.014	3.04809999999998	rating	-0.999	Fc3_1312.jpg	78	80
