onset	duration	trial_type	response_time	stim_file	value_rating	value_real
3.00411	3.016623	summ	1.32359	Fc1_2231.jpg	69	70
14.01449	3.0071	rating	1.32359	Fc1_2231.jpg	69	70
24.00616	3.01719	conj	-0.999	Fc3_1211.jpg	79.5	80
32.51338	3.04449	rating	-0.999	Fc3_1211.jpg	79.5	80
39.50886	3.01717	summ	1.800155	Fc1_3221.jpg	78.75	80
48.51078	3.01681	rating	1.800155	Fc1_3221.jpg	78.75	80
57.51209	3.01715	summ	2.286188	Fc1_3231.jpg	88.5	90
66.51104	3.0104	rating	2.286188	Fc1_3231.jpg	88.5	90
77.01546	3.01711999999999	conj	1.82759	Fc3_1111.jpg	30.75	30
85.01089	3.01079	rating	1.82759	Fc3_1111.jpg	30.75	30
92.51818	3.01714	conj	1.14274	Fc3_1313.jpg	69	70
103.0129	3.0094	rating	1.14274	Fc3_1313.jpg	69	70
113.5056	3.0167	summ	2.643489	Fc1_1221.jpg	45.75	50
121.0133	3.01009999999999	rating	2.643489	Fc1_1221.jpg	45.75	50
130.0081	3.01719999999997	summ	-0.999	Fc1_1211.jpg	27.75	30
138.0117	3.048	rating	-0.999	Fc1_1211.jpg	27.75	30
147.011	3.0172	summ	1.632888	Fc1_2211.jpg	43.5	40
155.0133	3.01590000000002	rating	1.632888	Fc1_2211.jpg	43.5	40
164.014	3.0171	conj	1.337909	Fc3_1313.jpg	68.25	70
171.5108	3.0121	rating	1.337909	Fc3_1313.jpg	68.25	70
182.5171	3.01730000000001	conj	1.194364	Fc3_1213.jpg	50.25	50
189.5124	3.01069999999999	rating	1.194364	Fc3_1213.jpg	50.25	50
198.5067	3.01680000000002	summ	-0.999	Fc1_3221.jpg	84	80
206.5109	3.04570000000001	rating	-0.999	Fc1_3221.jpg	84	80
217.5068	3.01679999999999	summ	2.413614	Fc1_1221.jpg	47.25	50
226.0114	3.0136	rating	2.413614	Fc1_1221.jpg	47.25	50
237.01	3.0171	summ	-0.999	Fc1_1211.jpg	36.75	30
245.5133	3.04840000000002	rating	-0.999	Fc1_1211.jpg	36.75	30
252.5124	3.01719999999997	conj	2.18481	Fc3_1112.jpg	90	90
260.0128	3.01129999999995	rating	2.18481	Fc3_1112.jpg	90	90
271.0159	3.0172	summ	2.178537	Fc1_3231.jpg	90	90
281.0125	3.01179999999999	rating	2.178537	Fc1_3231.jpg	90	90
291.0079	3.01670000000001	conj	1.31382	Fc3_1213.jpg	51	50
298.0111	3.01370000000003	rating	1.31382	Fc3_1213.jpg	51	50
308.0081	3.01670000000001	summ	2.847077	Fc1_2211.jpg	37.5	40
319.0112	3.01360000000005	rating	2.847077	Fc1_2211.jpg	37.5	40
330.0096	3.01710000000003	summ	1.117237	Fc1_2231.jpg	69.75	70
339.5108	3.01729999999998	rating	1.117237	Fc1_2231.jpg	69.75	70
350.0129	3.01729999999998	conj	1.786989	Fc3_1211.jpg	79.5	80
357.5108	3.0145	rating	1.786989	Fc3_1211.jpg	79.5	80
366.0157	3.01730000000003	conj	2.76291	Fc3_1111.jpg	27	30
376.5128	3.0127	rating	2.76291	Fc3_1111.jpg	27	30
383.5092	3.01669999999996	conj	1.598159	Fc3_1312.jpg	41.25	40
394.0113	3.01439999999997	rating	1.598159	Fc3_1312.jpg	41.25	40
402.0094	3.01669999999996	conj	2.479777	Fc3_1112.jpg	90.75	90
410.013	3.0129	rating	2.479777	Fc3_1112.jpg	90.75	90
420.0097	3.01659999999998	conj	1.730213	Fc3_1312.jpg	39.75	40
427.0131	3.01349999999996	rating	1.730213	Fc3_1312.jpg	39.75	40
