onset	duration	trial_type	response_time	stim_file	value_rating	value_real
3.012148	3.016643	summ	-0.999	Fa3_1121.jpg	50.25	50
14.04899	3.04639	rating	-0.999	Fa3_1121.jpg	50.25	50
24.01242	3.01685	summ	2.495379	Fa3_1211.jpg	39	40
32.51816	3.01199	rating	2.495379	Fa3_1211.jpg	39	40
39.51438	3.01721	conj	1.521563	Fa2_2323.jpg	69	70
48.5115	3.00504	rating	1.521563	Fa2_2323.jpg	69	70
57.5176	3.01718	summ	2.240657	Fa3_1231.jpg	69	70
66.51211	3.01747999999999	rating	2.240657	Fa3_1231.jpg	69	70
77.01331	3.01673	summ	-0.999	Fa3_1331.jpg	90.75	90
85.0133	3.03314999999999	rating	-0.999	Fa3_1331.jpg	90.75	90
92.51354	3.01661	conj	-0.999	Fa2_2121.jpg	27.75	30
103.0125	3.0343	rating	-0.999	Fa2_2121.jpg	27.75	30
113.5137	3.0168	conj	2.284817	Fa2_2122.jpg	91.5	90
121.0126	3.018	rating	2.284817	Fa2_2122.jpg	91.5	90
130.014	3.01679999999999	conj	2.221054	Fa2_2223.jpg	50.25	50
138.0109	3.0044	rating	2.221054	Fa2_2223.jpg	50.25	50
147.0166	3.0172	summ	-0.999	Fa3_1331.jpg	87	90
155.0127	3.03880000000001	rating	-0.999	Fa3_1331.jpg	87	90
164.0145	3.01670000000001	conj	-0.999	Fa2_2221.jpg	78.75	80
171.5111	3.04339999999999	rating	-0.999	Fa2_2221.jpg	78.75	80
182.5147	3.01679999999999	summ	2.620317	Fa3_1111.jpg	27	30
189.5111	3.01320000000001	rating	2.620317	Fa3_1111.jpg	27	30
198.5149	3.01679999999999	summ	2.503778	Fa3_1211.jpg	41.25	40
206.5112	3.01609999999999	rating	2.503778	Fa3_1211.jpg	41.25	40
217.5152	3.01670000000001	conj	2.187857	Fa2_2121.jpg	31.5	30
226.0108	3.0044	rating	2.187857	Fa2_2121.jpg	31.5	30
237.0157	3.0171	summ	-0.999	Fa3_1111.jpg	32.25	30
245.5124	3.03829999999999	rating	-0.999	Fa3_1111.jpg	32.25	30
252.5157	3.01669999999999	summ	2.858964	Fa3_1231.jpg	72.75	70
260.011	3.00879999999995	rating	2.858964	Fa3_1231.jpg	72.75	70
271.0159	3.01679999999999	summ	1.762467	Fa3_1321.jpg	81	80
281.0112	3.01230000000004	rating	1.762467	Fa3_1321.jpg	81	80
291.0162	3.01669999999996	conj	2.154916	Fa2_2322.jpg	39.75	40
298.0113	3.01510000000002	rating	2.154916	Fa2_2322.jpg	39.75	40
308.0164	3.01670000000001	summ	-0.999	Fa3_1121.jpg	49.5	50
319.0108	3.03919999999999	rating	-0.999	Fa3_1121.jpg	49.5	50
330.0167	3.01669999999996	conj	2.406056	Fa2_2122.jpg	91.5	90
339.511	3.00599999999997	rating	2.406056	Fa2_2122.jpg	91.5	90
350.017	3.01670000000001	conj	-0.999	Fa2_2322.jpg	39.75	40
357.511	3.04239999999999	rating	-0.999	Fa2_2322.jpg	39.75	40
366.0172	3.01670000000001	conj	2.077015	Fa2_2323.jpg	70.5	70
376.513	3.0104	rating	2.077015	Fa2_2323.jpg	70.5	70
383.5174	3.01659999999998	conj	1.587714	Fa2_2223.jpg	48	50
394.0134	3.01330000000002	rating	1.587714	Fa2_2223.jpg	48	50
402.0176	3.01679999999999	conj	1.689346	Fa2_2221.jpg	79.5	80
410.0119	3.0059	rating	1.689346	Fa2_2221.jpg	79.5	80
420.0178	3.01679999999999	summ	-0.999	Fa3_1321.jpg	83.25	80
427.0108	3.04019999999997	rating	-0.999	Fa3_1321.jpg	83.25	80
