onset	duration	trial_type	response_time	stim_file	value_rating	value_real
3.017149	3.016634	conj	1.892378	Fc3_1112.jpg	90	90
12.04741	3.00922	rating	1.892378	Fc3_1112.jpg	90	90
20.01739	3.01671	conj	-0.999	Fc3_1313.jpg	73.5	70
28.01644	3.03419	rating	-0.999	Fc3_1313.jpg	73.5	70
38.511	3.01712999999999	summ	2.623043	Fc1_3221.jpg	81.75	80
47.5113	3.00633	rating	2.623043	Fc1_3221.jpg	81.75	80
56.51409	3.01723999999999	summ	2.956589	Fc1_2211.jpg	39	40
64.51135	3.13982	rating	2.956589	Fc1_2211.jpg	39	40
75.51743	3.01751	summ	2.957465	Fc1_3231.jpg	89.25	90
84.01191	3.12402	rating	2.957465	Fc1_3231.jpg	89.25	90
91.50332	3.01743999999999	conj	-0.999	Fc3_1211.jpg	77.25	80
101.5126	3.04299999999999	rating	-0.999	Fc3_1211.jpg	77.25	80
110.5069	3.0172	summ	2.230821	Fc1_3231.jpg	89.25	90
121.0115	3.0142	rating	2.230821	Fc1_3231.jpg	89.25	90
132.0108	3.0171	conj	1.872645	Fc3_1112.jpg	89.25	90
142.5132	3.0163	rating	1.872645	Fc3_1112.jpg	89.25	90
153.5145	3.0171	conj	1.741909	Fc3_1213.jpg	50.25	50
164.5108	3.0085	rating	1.741909	Fc3_1213.jpg	50.25	50
175.0182	3.0181	conj	2.792061	Fc3_1111.jpg	31.5	30
184.0113	3.00880000000001	rating	2.792061	Fc3_1111.jpg	31.5	30
191.5044	3.0171	summ	-0.999	Fc1_1211.jpg	31.5	30
202.5113	3.0453	rating	-0.999	Fc1_1211.jpg	31.5	30
211.0075	3.01760000000002	summ	2.181524	Fc1_2231.jpg	70.5	70
218.0113	3.0147	rating	2.181524	Fc1_2231.jpg	70.5	70
228.5108	3.01730000000001	conj	2.168612	Fc3_1111.jpg	30.75	30
239.511	3.0093	rating	2.168612	Fc3_1111.jpg	30.75	30
248.5143	3.0172	conj	2.509366	Fc3_1312.jpg	40.5	40
255.5112	3.00930000000002	rating	2.509366	Fc3_1312.jpg	40.5	40
262.5168	3.0172	summ	2.025558	Fc1_3221.jpg	78.75	80
269.5119	3.00879999999995	rating	2.025558	Fc1_3221.jpg	78.75	80
276.5044	3.01660000000004	conj	-0.999	Fc3_1313.jpg	71.25	70
286.511	3.04359999999997	rating	-0.999	Fc3_1313.jpg	71.25	70
294.0053	3.01750000000004	summ	2.013456	Fc1_1221.jpg	50.25	50
305.0109	3.01350000000002	rating	2.013456	Fc1_1221.jpg	50.25	50
313.0089	3.01710000000003	conj	2.399681	Fc3_1213.jpg	49.5	50
323.0112	3.01660000000004	rating	2.399681	Fc3_1213.jpg	49.5	50
331.5121	3.01710000000003	summ	2.919139	Fc1_1211.jpg	30	30
338.5112	3.0437	rating	2.919139	Fc1_1211.jpg	30	30
348.515	3.0172	summ	-0.999	Fc1_2231.jpg	69	70
356.513	3.0421	rating	-0.999	Fc1_2231.jpg	69	70
364.0052	3.017	summ	-0.999	Fc1_2211.jpg	42	40
373.0122	3.04320000000001	rating	-0.999	Fc1_2211.jpg	42	40
380.5057	3.01659999999998	summ	2.109236	Fc1_1221.jpg	49.5	50
389.0131	3.00959999999998	rating	2.109236	Fc1_1221.jpg	49.5	50
399.5072	3.01729999999998	conj	2.764404	Fc3_1312.jpg	40.5	40
409.0116	3.01429999999999	rating	2.764404	Fc3_1312.jpg	40.5	40
419.0106	3.0172	conj	-0.999	Fc3_1211.jpg	81.75	80
427.0111	3.03449999999998	rating	-0.999	Fc3_1211.jpg	81.75	80
