onset	duration	trial_type	response_time	stim_file	value_rating	value_real
3.008832	3.016849	summ	-0.999	Fa3_1321.jpg	83.25	80
10.54447	3.04924	rating	-0.999	Fa3_1321.jpg	83.25	80
20.51166	3.01717	conj	2.47816	Fa2_2122.jpg	90.75	90
31.01916	3.01122	rating	2.47816	Fa2_2122.jpg	90.75	90
38.01479	3.01714	conj	1.788674	Fa2_2223.jpg	48	50
48.51282	3.01319	rating	1.788674	Fa2_2223.jpg	48	50
56.5179	3.01727	summ	2.198613	Fa3_1121.jpg	51.75	50
64.5126	3.01365	rating	2.198613	Fa3_1121.jpg	51.75	50
75.50993	3.01672000000001	conj	-0.999	Fa2_2121.jpg	33.5	30
82.51279	3.04698	rating	-0.999	Fa2_2121.jpg	33.5	30
91.51028	3.01658	summ	-0.999	Fa3_1211.jpg	37.5	40
100.0137	3.04640000000001	rating	-0.999	Fa3_1211.jpg	37.5	40
108.0133	3.0142	summ	2.651122	Fa3_1331.jpg	88.5	90
119.0132	3.01600000000001	rating	2.651122	Fa3_1331.jpg	88.5	90
127.5137	3.0172	conj	-0.999	Fa2_2322.jpg	38.25	40
134.5138	3.1968	rating	-0.999	Fa2_2322.jpg	38.25	40
145.0168	3.0171	conj	1.705412	Fa2_2223.jpg	50.25	50
152.0135	3.01390000000001	rating	1.705412	Fa2_2223.jpg	50.25	50
163.0112	3.01660000000001	conj	-0.999	Fa2_2322.jpg	46.5	40
172.0128	3.04820000000001	rating	-0.999	Fa2_2322.jpg	46.5	40
183.0114	3.01679999999999	summ	-0.999	Fa3_1211.jpg	45	40
190.5137	3.04769999999999	rating	-0.999	Fa3_1211.jpg	45	40
201.5117	3.01670000000001	conj	-0.999	Fa2_2221.jpg	29.25	80
212.5133	3.0488	rating	-0.999	Fa2_2221.jpg	29.25	80
221.5134	3.0172	conj	1.602533	Fa2_2323.jpg	70.5	70
230.0149	3.017	rating	1.602533	Fa2_2323.jpg	70.5	70
238.0163	3.0172	conj	-0.999	Fa2_2122.jpg	95.25	90
248.5133	3.03840000000002	rating	-0.999	Fa2_2122.jpg	95.25	90
255.5124	3.01670000000001	summ	-0.999	Fa3_1111.jpg	30	30
262.5124	3.04169999999999	rating	-0.999	Fa3_1111.jpg	30	30
271.5125	3.01679999999999	summ	-0.999	Fa3_1231.jpg	75.75	70
282.0139	3.04860000000002	rating	-0.999	Fa3_1231.jpg	75.75	70
291.0129	3.01670000000001	summ	2.716881	Fa3_1121.jpg	48	50
298.5129	3.01639999999998	rating	2.716881	Fa3_1121.jpg	48	50
308.5131	3.01670000000001	summ	-0.999	Fa3_1231.jpg	72	70
316.5138	3.0496	rating	-0.999	Fa3_1231.jpg	72	70
324.0163	3.01549999999997	summ	-0.999	Fa3_1111.jpg	33	30
332.0129	3.03660000000002	rating	-0.999	Fa3_1111.jpg	33	30
342.0192	3.01569999999998	summ	-0.999	Fa3_1331.jpg	94.5	90
353.0138	3.03949999999998	rating	-0.999	Fa3_1331.jpg	94.5	90
360.5137	3.01680000000005	conj	-0.999	Fa2_2221.jpg	78.75	80
371.0136	3.03340000000003	rating	-0.999	Fa2_2221.jpg	78.75	80
380.514	3.01659999999998	conj	-0.999	Fa2_2121.jpg	32.25	30
389.0126	3.03449999999998	rating	-0.999	Fa2_2121.jpg	32.25	30
398.0142	3.01669999999996	conj	2.584577	Fa2_2323.jpg	67.5	70
407.0139	3.01680000000005	rating	2.584577	Fa2_2323.jpg	67.5	70
417.0144	3.01659999999998	summ	2.471573	Fa3_1321.jpg	81	80
427.0134	3.01760000000002	rating	2.471573	Fa3_1321.jpg	81	80
