onset	duration	trial_type	response_time	stim_file	value_rating	value_real
3.009106	3.017188	summ	1.949788	Fa2_2223.jpg	48	50
12.01102	3.01653	rating	1.949788	Fa2_2223.jpg	48	50
20.01206	3.01715	conj	1.635836	Fa3_1111.jpg	69.75	70
28.01123	3.0135	rating	1.635836	Fa3_1111.jpg	69.75	70
38.51531	3.01716	summ	2.870831	Fa2_2121.jpg	93	90
47.5131	3.03741	rating	2.870831	Fa2_2121.jpg	93	90
56.50851	3.01699	summ	2.72894	Fa2_2322.jpg	38.25	40
64.5131	3.01222	rating	2.72894	Fa2_2322.jpg	38.25	40
75.50908	3.01662	conj	2.464027	Fa3_1311.jpg	40.5	40
84.01175	3.01379999999999	rating	2.464027	Fa3_1311.jpg	40.5	40
91.50896	3.01706	summ	-0.999	Fa2_2221.jpg	87	80
101.5116	3.0484	rating	-0.999	Fa2_2221.jpg	87	80
110.5112	3.01729999999999	conj	2.850679	Fa3_1231.jpg	93	30
121.013	3.0171	rating	2.850679	Fa3_1231.jpg	93	30
132.015	3.0172	summ	1.839222	Fa2_2122.jpg	70.5	70
142.5112	3.01519999999999	rating	1.839222	Fa2_2122.jpg	70.5	70
153.5102	3.01660000000001	summ	2.617073	Fa2_2323.jpg	28.5	30
164.5099	3.01690000000002	rating	2.617073	Fa2_2323.jpg	28.5	30
175.0104	3.01679999999999	summ	2.298303	Fa2_2322.jpg	42.75	40
184.0121	3.01489999999998	rating	2.298303	Fa2_2322.jpg	42.75	40
191.5107	3.01669999999999	summ	2.531324	Fa2_2121.jpg	93	90
202.513	3.0146	rating	2.531324	Fa2_2121.jpg	93	90
211.0121	3.01730000000001	conj	-0.999	Fa3_1331.jpg	85.5	90
218.0131	3.03389999999999	rating	-0.999	Fa3_1331.jpg	85.5	90
228.5152	3.0172	summ	2.405685	Fa2_2323.jpg	35.25	30
239.5118	3.01590000000002	rating	2.405685	Fa2_2323.jpg	35.25	30
248.5115	3.01669999999999	conj	1.949853	Fa3_1311.jpg	44.25	40
255.5116	3.0163	rating	1.949853	Fa3_1311.jpg	44.25	40
262.5115	3.01679999999999	conj	2.781788	Fa3_1231.jpg	30	30
269.5133	3.01479999999998	rating	2.781788	Fa3_1231.jpg	30	30
276.5118	3.01670000000001	conj	-0.999	Fa3_1121.jpg	48.75	50
286.5116	3.0335	rating	-0.999	Fa3_1121.jpg	48.75	50
294.0118	3.017	summ	1.867819	Fa2_2223.jpg	50.25	50
305.0112	3.00100000000003	rating	1.867819	Fa2_2223.jpg	50.25	50
313.0133	3.01709999999997	conj	2.887591	Fa3_1331.jpg	93.75	90
323.0111	3.07080000000002	rating	2.887591	Fa3_1331.jpg	93.75	90
331.5164	3.01730000000003	conj	-0.999	Fa3_1121.jpg	54	50
338.5127	3.03860000000003	rating	-0.999	Fa3_1121.jpg	54	50
348.5128	3.01669999999996	summ	-0.999	Fa2_2221.jpg	77.25	80
356.5115	3.03449999999998	rating	-0.999	Fa2_2221.jpg	77.25	80
364.0127	3.017	conj	-0.999	Fa3_1221.jpg	76.5	80
373.0114	3.03480000000002	rating	-0.999	Fa3_1221.jpg	76.5	80
380.5132	3.01670000000001	summ	-0.999	Fa2_2122.jpg	70.5	70
389.0113	3.0351	rating	-0.999	Fa2_2122.jpg	70.5	70
399.5134	3.01670000000001	conj	1.668377	Fa3_1111.jpg	69.75	70
409.0118	3.0018	rating	1.668377	Fa3_1111.jpg	69.75	70
419.0151	3.0172	conj	-0.999	Fa3_1221.jpg	80.25	80
427.0112	3.03880000000004	rating	-0.999	Fa3_1221.jpg	80.25	80
